8 4976
M N L E O P R Q
1 1 0 1 0 0 0 1
0 1 1 0 0 0 1 1
0 1 0 0 0 0 0 1
0 0 1 1 1 0 1 1
1 1 1 1 0 0 0 1
0 1 1 1 1 0 1 1
1 1 1 1 1 0 0 1
1 1 1 1 0 0 1 1
1 0 1 1 0 1 0 1
0 1 1 1 0 0 0 1
0 1 0 1 0 0 0 1
1 1 1 1 0 1 0 1
1 0 1 1 0 1 1 1
1 1 0 1 0 0 0 1
1 1 0 1 1 1 1 1
0 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
0 0 0 1 1 1 0 0
0 1 1 1 1 1 1 1
1 1 0 1 0 1 0 1
0 0 0 1 1 1 0 0
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 0
0 1 1 1 0 1 1 1
0 1 1 0 0 0 1 1
1 1 0 1 0 1 1 1
0 1 1 1 1 0 1 1
0 1 1 1 0 1 0 1
0 1 1 0 1 0 1 1
0 1 0 1 1 1 1 1
0 1 0 0 0 0 0 0
1 1 1 1 1 0 1 1
0 0 1 1 1 1 1 1
1 0 1 1 1 1 1 1
1 1 1 1 0 0 1 1
1 0 1 0 0 0 1 1
0 1 0 1 0 0 0 1
1 1 0 1 0 1 1 1
1 1 1 0 1 0 1 1
0 1 1 1 1 0 1 1
0 1 1 1 0 1 1 1
0 1 1 1 0 0 0 1
1 0 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 0 0 1 0 1 1 0
1 0 1 1 0 1 1 1
1 0 1 0 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 0 1
1 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 0 0 1 1 1 1 0
0 1 0 1 0 0 0 1
0 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
1 0 0 1 0 1 1 1
0 1 1 0 0 0 0 1
1 1 1 1 0 1 1 1
1 0 1 0 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 0 0 0 1 0 1 0
1 0 0 1 1 1 1 0
0 1 1 1 0 0 1 1
1 1 1 1 1 1 1 1
1 1 1 0 1 0 0 1
1 1 0 1 0 1 1 1
1 1 1 0 0 1 1 1
0 1 1 1 0 0 1 1
1 0 0 1 1 1 0 0
1 1 1 1 1 1 0 1
0 0 1 1 0 1 1 1
1 0 0 1 1 1 1 0
1 0 0 0 1 1 0 0
0 1 0 1 1 1 1 1
0 0 1 1 0 0 1 1
1 1 1 1 1 0 1 1
0 1 1 1 1 1 1 1
0 1 0 1 0 1 0 1
0 1 0 0 1 0 1 1
0 1 1 1 0 1 1 1
1 0 0 0 1 1 1 0
0 1 1 0 1 0 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 0 1 1
1 0 0 1 1 0 1 1
0 1 1 1 0 0 1 1
0 1 1 0 1 0 0 1
1 0 1 1 0 1 0 1
1 0 1 1 1 1 1 1
1 0 0 1 1 1 0 0
0 0 1 1 1 1 1 1
1 0 1 1 0 1 1 1
0 1 1 1 0 0 0 1
1 0 0 1 1 1 1 0
1 0 1 1 0 0 1 0
0 0 0 1 0 1 1 1
0 1 1 0 0 0 1 1
1 1 1 1 1 0 1 1
0 1 1 1 0 0 0 1
0 1 1 0 0 0 1 1
0 0 1 1 0 0 0 1
0 1 1 0 0 0 1 1
1 0 0 1 0 1 0 1
0 1 1 1 0 1 1 1
1 1 1 1 1 1 1 1
1 0 0 1 1 1 1 0
0 1 0 0 0 0 1 1
1 1 1 1 1 0 1 1
1 1 1 0 0 1 0 1
1 1 1 0 0 0 1 1
1 0 0 1 0 1 1 1
0 0 0 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
0 1 1 0 0 0 0 1
1 0 0 1 0 1 0 1
0 1 1 1 0 0 1 1
0 0 0 1 1 1 1 0
0 0 0 1 1 0 0 0
1 0 0 0 1 0 1 0
1 1 0 1 0 0 0 1
1 1 1 1 0 1 0 1
0 0 0 1 0 1 0 0
1 1 1 1 0 0 0 1
0 0 0 1 1 0 1 0
0 1 0 1 0 0 0 1
0 1 1 1 0 1 1 1
1 1 1 0 1 1 1 1
1 0 0 1 0 1 0 0
0 1 1 1 0 0 1 1
1 1 1 1 0 0 1 1
0 1 1 0 0 0 1 1
0 1 1 1 0 1 0 1
0 0 0 1 0 0 1 0
1 1 1 1 1 1 1 1
0 1 1 1 1 1 1 1
1 1 1 1 1 0 0 1
0 1 1 1 0 0 1 1
0 0 0 1 1 0 0 0
0 1 0 1 0 0 0 1
0 1 1 0 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 1 0 0 0 1
0 1 1 1 0 0 0 1
1 1 1 0 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 0 1 1 0 1 1 1
0 1 1 0 0 0 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 0 0 1
1 0 1 1 1 1 1 1
0 1 0 0 0 0 1 1
1 1 0 1 0 1 1 1
1 1 1 1 0 0 0 1
0 1 1 1 0 0 1 1
0 1 0 1 0 0 0 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 0 1 1 0 1 0 1
1 0 1 1 0 1 1 0
0 1 1 1 0 1 1 1
0 0 0 1 1 1 1 1
1 1 1 1 1 0 0 1
1 0 0 1 1 1 1 0
0 1 1 1 0 1 1 1
1 1 1 0 1 0 1 1
1 1 1 1 0 1 1 1
1 1 1 0 0 0 0 1
1 0 1 1 1 1 1 0
1 1 1 1 0 1 0 1
0 1 0 1 0 0 0 1
0 1 1 1 0 0 1 1
0 1 1 0 1 1 1 1
0 1 0 1 1 0 1 1
1 0 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 1 1 1 0 1 1
1 1 1 1 0 1 1 1
1 1 0 1 0 1 0 1
1 0 0 1 0 0 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
0 0 1 0 1 0 1 0
1 1 1 0 0 0 0 1
0 1 1 0 0 0 1 1
1 1 0 0 0 0 0 1
1 1 1 0 0 1 1 1
1 1 1 1 1 0 1 1
1 1 0 1 0 1 1 1
1 1 1 1 1 1 1 1
0 0 0 0 0 0 1 0
1 0 0 1 0 1 1 0
0 0 1 1 0 0 1 1
1 0 0 1 0 1 0 0
1 1 1 1 0 1 0 1
1 1 0 1 0 0 1 1
1 1 1 0 0 0 1 1
0 0 1 1 0 0 1 1
0 1 1 1 1 0 0 1
1 0 0 1 1 1 0 0
0 1 1 1 0 1 1 1
0 0 1 1 0 1 1 0
1 1 1 0 0 0 0 1
1 1 1 1 0 1 0 1
1 0 0 1 1 1 1 0
0 1 1 0 0 0 0 1
1 0 1 1 0 1 0 1
1 0 0 1 1 1 0 0
0 1 0 1 0 0 0 1
0 1 1 1 1 1 1 1
1 1 0 1 0 0 0 1
1 0 1 1 0 1 0 1
0 0 0 1 1 1 1 0
1 0 0 1 0 1 0 1
0 1 0 1 1 0 1 0
0 0 1 1 0 0 1 0
1 1 1 1 0 1 1 1
1 1 0 1 0 0 1 1
1 1 0 0 1 0 1 1
0 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 1 0 1 1
0 0 0 1 1 1 0 0
0 1 1 0 0 0 1 1
1 1 0 1 0 1 0 1
0 0 0 1 0 1 1 0
0 1 1 1 0 0 0 1
0 0 1 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 0 0 0 0 1
0 0 1 1 0 1 1 1
0 1 1 0 0 0 1 1
0 1 0 1 1 0 1 1
1 0 1 0 0 0 0 1
0 0 1 0 0 0 1 1
1 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 0 0 1 1 1 1 0
0 1 0 1 0 0 1 1
0 1 0 1 0 0 1 1
0 1 1 1 0 1 1 1
1 0 0 1 0 1 1 1
1 1 1 0 0 0 0 1
0 1 0 1 0 0 0 1
0 1 1 1 1 0 1 1
1 1 0 1 0 0 0 1
1 0 1 1 1 1 1 0
1 1 1 1 0 0 1 0
1 1 1 0 0 1 1 1
0 0 1 1 1 0 1 0
1 0 1 1 1 1 1 0
1 1 0 1 1 1 1 1
1 1 1 0 0 0 1 1
1 1 0 1 1 1 1 1
1 1 0 1 0 1 0 1
0 1 0 1 0 0 0 0
1 1 0 1 0 1 0 1
1 0 0 1 1 1 0 0
0 0 0 1 0 1 0 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 0 0 1
1 1 0 1 1 1 1 1
1 1 0 0 1 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 1 1 1
1 1 0 1 1 0 1 1
1 0 0 1 0 1 0 1
1 1 0 1 1 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 1 1 1
0 0 0 0 1 1 1 0
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
0 0 0 1 0 1 1 1
1 1 1 1 0 0 0 1
0 0 0 1 1 0 0 0
0 1 1 1 0 1 1 1
1 1 1 0 0 0 1 1
1 1 1 1 0 0 1 1
0 1 1 1 0 0 0 1
0 0 0 1 1 0 1 0
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 0 1
1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
1 1 0 0 0 0 1 1
1 1 1 1 0 0 1 0
1 0 1 1 1 1 0 0
1 1 0 0 0 0 0 1
1 1 0 1 0 1 1 1
0 1 0 1 0 1 1 1
1 1 1 1 1 0 1 1
0 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 0 1 1
1 1 1 1 0 0 1 1
0 0 0 1 0 0 1 0
1 0 0 1 1 0 1 1
1 1 1 1 0 1 1 1
0 0 1 1 0 0 1 1
1 1 1 0 0 0 1 1
1 1 1 1 0 0 0 1
1 1 0 1 0 1 0 1
1 1 0 1 1 0 1 1
1 1 0 1 0 0 0 1
0 1 1 0 0 0 1 1
0 1 1 1 1 0 1 1
0 1 1 1 1 0 1 1
0 1 0 1 1 1 1 1
1 1 1 1 0 1 1 1
0 1 0 1 1 0 1 1
0 0 0 0 0 0 1 1
1 1 0 0 0 0 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 0 1
0 0 1 1 1 1 0 1
1 0 1 0 1 0 1 0
1 0 0 1 0 1 1 0
0 1 1 1 0 1 1 1
0 1 0 1 0 1 1 1
1 1 0 1 0 0 1 1
1 0 1 0 0 0 1 1
0 1 0 1 1 0 0 0
1 1 0 1 1 1 0 1
1 1 1 1 0 0 1 1
1 0 0 0 0 1 1 0
0 1 1 1 1 1 1 1
0 0 0 1 1 0 1 0
1 1 1 1 1 0 1 1
0 0 0 1 1 0 1 0
1 1 0 1 0 0 1 1
0 1 1 1 0 0 0 1
0 1 0 1 0 0 1 1
0 0 0 1 1 0 0 0
0 1 0 1 0 1 1 1
0 0 0 1 0 1 0 0
1 0 1 1 0 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 1 0 1 0 1 1
0 1 0 1 0 0 0 1
1 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
0 0 0 1 0 0 0 1
1 1 1 1 0 0 1 1
1 0 1 1 0 1 0 1
0 1 1 1 1 1 1 1
0 1 0 1 0 1 0 1
1 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 0 0 0 1 1
1 1 1 0 1 1 0 1
0 1 0 1 1 1 0 1
0 1 1 0 0 0 1 1
1 0 0 1 1 1 1 1
0 1 0 1 0 0 1 1
0 0 1 1 0 0 1 1
1 0 0 0 1 0 1 0
0 1 1 1 1 1 1 1
1 1 0 1 0 1 0 1
0 1 1 1 0 0 0 1
0 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
1 1 0 0 0 1 0 1
1 1 0 1 0 1 0 1
0 0 1 1 1 0 1 0
0 0 1 1 0 1 1 1
0 0 1 0 1 0 1 1
0 1 0 1 0 1 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
0 1 0 0 0 0 0 1
0 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
0 1 1 1 1 0 0 1
0 1 1 1 1 0 1 1
0 1 0 1 0 0 0 0
1 0 0 0 1 0 0 0
1 1 1 1 1 0 0 1
1 1 0 1 0 0 1 1
0 0 0 1 1 0 0 0
1 1 1 0 0 0 1 1
0 0 1 1 0 1 1 1
0 1 1 1 0 1 1 1
0 0 1 1 0 1 0 1
1 1 1 1 0 1 1 1
1 1 0 1 0 1 1 1
1 0 1 1 1 1 1 1
0 1 0 0 0 0 0 1
0 0 1 1 0 0 1 1
0 1 1 0 0 1 0 1
1 1 0 1 0 1 0 1
0 0 1 1 0 0 1 1
1 1 0 1 0 0 1 1
1 0 0 1 1 1 0 0
0 1 1 1 0 0 1 1
0 1 0 1 0 1 0 1
0 1 1 0 0 0 0 1
0 0 1 1 0 0 1 1
1 1 0 1 1 0 1 1
1 1 0 1 0 1 0 1
0 0 0 0 0 0 1 1
1 1 1 1 1 0 1 1
0 1 1 0 0 0 1 1
0 1 0 1 0 0 1 1
1 1 0 1 1 1 1 1
0 0 0 1 0 0 0 0
0 1 1 0 0 0 1 1
1 0 1 1 0 1 1 1
1 1 0 0 0 1 0 1
1 1 1 0 0 0 1 1
0 1 0 1 0 0 1 1
1 1 1 0 0 0 0 1
0 0 0 1 0 0 0 1
0 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 0 1 0 1 0 1
0 1 1 0 0 0 1 1
0 1 0 1 0 0 0 1
0 1 1 0 0 0 1 1
0 1 0 1 0 0 0 1
1 1 1 1 0 1 1 1
1 0 1 1 1 0 1 0
0 1 0 1 0 0 1 1
0 1 1 1 0 0 0 1
0 1 1 0 1 0 1 1
1 1 1 1 1 0 1 1
1 1 0 0 0 0 1 1
0 1 0 1 0 0 1 1
1 1 0 0 0 0 0 0
1 0 1 0 0 0 0 1
1 0 1 1 0 0 1 1
1 0 1 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 1 0 1 0
1 0 0 1 0 1 0 0
1 1 0 1 0 1 1 1
0 1 1 1 1 0 1 1
0 1 1 1 0 0 0 1
0 1 0 1 0 1 1 1
0 0 1 1 1 0 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
1 0 1 1 1 1 1 0
1 1 0 1 1 0 1 1
0 0 0 1 0 1 1 0
1 0 1 1 0 1 1 1
1 1 1 1 1 0 1 1
0 1 0 1 0 1 1 1
0 0 0 1 1 0 1 0
1 1 1 1 1 1 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 0 0 1
1 0 0 1 1 0 0 0
0 1 0 1 0 0 1 1
0 0 0 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
0 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 1 1 1 1
0 1 0 0 0 0 0 1
1 1 1 1 1 1 0 1
1 1 1 1 0 1 1 1
1 0 0 1 1 1 1 0
0 1 0 0 1 0 1 1
1 1 0 1 0 1 0 1
0 0 0 1 0 0 0 1
0 0 0 1 0 0 1 1
0 0 1 0 1 0 1 1
1 1 0 1 0 1 0 1
0 1 0 1 1 0 0 1
1 0 0 0 1 1 1 0
1 0 1 1 0 0 1 1
0 1 1 0 0 0 0 1
1 1 1 1 0 1 0 1
1 1 1 0 0 0 0 1
1 1 0 0 0 0 0 1
1 1 1 1 0 0 1 1
0 1 1 1 1 0 1 1
1 1 0 1 0 0 1 1
0 0 1 1 1 0 1 0
1 0 0 1 1 1 1 0
1 0 1 1 0 1 1 1
0 1 0 0 0 0 0 1
0 1 1 1 0 1 1 1
0 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
1 0 1 1 1 1 0 0
0 1 1 1 0 0 1 1
1 0 1 1 0 1 1 1
1 0 0 1 1 1 1 1
1 0 1 1 1 1 1 1
0 1 1 1 0 0 1 1
0 0 1 1 1 1 0 0
1 1 1 1 0 1 0 1
0 1 0 0 0 0 1 1
0 1 0 0 0 0 0 1
0 1 0 1 0 0 1 1
1 1 1 1 1 0 1 1
1 1 0 1 0 1 1 1
1 1 1 1 0 1 0 1
0 0 0 1 0 1 0 1
0 0 0 0 1 0 1 0
0 1 0 0 0 0 0 1
0 0 0 0 1 0 0 0
0 1 1 1 0 1 1 1
1 1 0 0 0 0 1 1
1 1 0 1 0 1 1 1
0 1 1 1 0 1 0 1
0 1 0 0 1 0 1 1
1 1 0 1 0 1 0 1
1 1 1 1 0 0 1 1
0 1 1 1 1 0 1 1
0 0 0 1 1 0 1 0
0 1 0 1 0 0 0 1
0 1 1 1 1 1 1 1
1 1 0 1 1 1 1 1
1 0 1 0 0 1 1 1
0 1 1 1 0 0 1 1
0 0 0 1 0 0 1 0
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 1 0 1
0 1 1 1 0 0 1 1
0 0 0 1 1 1 0 0
0 0 1 1 1 0 1 0
1 1 0 1 1 1 1 1
0 0 0 1 1 0 0 0
0 1 0 0 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 0 1 1
1 0 0 1 1 0 0 0
0 0 1 1 0 0 0 1
0 1 0 1 0 0 1 1
1 1 0 0 0 0 0 1
1 1 1 1 1 0 1 1
0 0 1 1 0 0 0 1
1 0 1 0 1 0 1 0
0 1 0 1 0 0 1 1
1 0 0 0 1 1 1 0
1 1 1 1 0 1 1 1
1 1 1 0 0 0 1 1
1 0 1 1 0 1 0 1
1 1 1 1 0 1 1 1
0 1 1 0 0 0 0 1
1 1 1 0 0 0 1 1
0 1 1 0 0 0 1 1
0 1 1 0 0 0 0 1
1 1 1 1 0 1 1 1
1 1 1 0 0 0 0 1
0 1 0 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
0 1 0 1 0 0 1 1
0 0 1 1 1 1 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 1 0 1
1 1 1 1 0 1 0 1
0 0 1 1 0 1 0 1
1 0 0 0 1 1 1 0
0 1 0 0 0 0 1 1
1 0 1 1 1 1 1 0
1 0 1 1 1 1 1 1
0 1 1 1 0 0 0 1
1 1 0 0 1 0 1 0
1 0 1 1 0 1 0 1
1 1 0 1 0 1 0 1
0 1 0 1 1 0 1 1
1 1 1 1 0 0 1 1
1 0 0 1 0 0 1 1
1 0 1 1 0 1 1 1
0 0 0 1 1 1 0 1
0 1 1 0 0 1 1 1
0 0 0 1 0 0 0 1
1 0 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 0 0 1 1
1 0 0 1 1 0 0 1
1 1 1 1 0 0 0 1
1 1 1 1 1 1 1 0
1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 1 1 1
0 1 0 1 1 0 0 1
0 0 0 1 1 1 0 0
0 1 1 1 1 0 1 1
1 0 1 1 1 0 1 0
1 0 0 1 1 1 1 0
0 1 1 1 0 0 0 1
1 1 0 1 0 0 0 1
1 1 0 1 0 1 0 1
0 1 1 1 0 1 1 1
1 0 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 0 1 1 1 1 1
0 1 1 1 0 0 1 1
0 1 0 1 1 0 1 0
0 1 1 0 1 0 1 1
1 0 0 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 1 1 1 0 1 0
1 0 1 0 0 0 0 1
1 0 1 1 0 1 1 1
0 1 0 1 0 1 1 1
1 0 0 1 1 1 1 0
1 1 1 1 0 1 0 1
0 1 1 1 0 0 1 1
1 0 1 1 0 1 0 1
1 1 1 0 0 1 1 1
1 0 1 1 1 0 1 1
0 0 0 1 0 0 1 0
0 1 1 1 0 0 1 1
0 0 1 0 0 0 1 1
0 0 0 1 1 0 1 0
1 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
0 0 1 1 0 1 1 1
0 1 1 0 1 0 0 1
0 1 1 1 0 1 1 1
1 1 0 1 1 0 1 0
0 0 0 1 1 1 1 0
0 0 0 0 0 0 0 1
1 0 0 1 1 1 1 0
1 0 0 0 1 1 1 0
0 0 0 1 0 0 0 0
0 0 1 1 0 1 1 1
1 0 1 1 0 1 1 1
0 0 0 1 0 0 1 0
0 1 0 1 0 0 1 1
1 0 0 1 1 1 1 0
0 1 0 1 0 0 1 1
0 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
0 0 1 1 0 1 0 1
1 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 0 0 0 0 1 1
1 1 1 1 1 1 1 1
1 1 1 0 0 1 0 1
1 1 1 1 0 1 1 1
0 1 1 0 0 0 1 1
0 1 0 1 0 0 1 1
1 1 0 0 0 0 1 1
1 0 1 1 1 1 1 0
0 1 1 1 0 1 1 1
1 1 1 0 0 0 1 1
1 1 1 1 0 1 1 1
1 1 0 1 0 0 1 1
1 1 0 0 0 0 1 1
1 0 1 1 0 1 1 1
1 1 1 1 1 1 1 1
0 0 0 0 1 0 1 0
1 1 1 1 0 1 1 1
1 1 0 1 0 1 0 1
0 1 1 1 1 0 1 1
1 1 1 1 0 1 0 1
1 0 1 0 1 0 1 1
1 1 1 0 0 0 1 1
1 1 1 1 0 1 0 1
0 1 0 1 1 0 1 0
0 1 1 1 0 0 1 1
0 1 0 1 0 1 1 1
0 1 0 1 0 1 1 1
0 1 0 1 0 0 0 1
0 1 1 1 1 0 1 1
0 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 0 0 1 0 1 1
0 0 0 1 0 1 1 0
0 1 0 1 0 1 0 1
0 1 0 1 0 0 1 1
1 1 0 1 0 1 0 1
0 1 1 1 0 0 1 1
1 1 0 0 0 0 0 1
0 1 1 0 0 0 1 1
1 0 1 1 0 0 1 1
1 1 0 1 0 0 1 1
0 1 0 1 0 0 0 1
0 1 0 1 1 0 1 1
0 0 0 1 0 1 0 1
1 1 1 1 0 1 1 1
0 0 1 1 0 1 1 1
0 1 1 1 0 1 0 1
0 1 1 1 0 0 1 1
0 0 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 1 1 1 1 1
1 1 1 0 0 0 1 1
1 1 1 0 0 0 1 1
0 0 1 1 0 1 1 1
0 0 1 1 0 0 1 0
1 0 1 1 1 1 1 0
1 1 1 1 1 0 1 1
1 1 0 1 0 1 1 1
1 1 1 0 0 0 1 1
1 0 0 1 1 1 0 0
1 1 0 0 0 0 1 1
0 0 1 1 0 1 1 1
1 0 0 1 1 1 1 0
0 1 1 1 0 1 1 1
0 1 0 1 0 0 1 1
0 1 0 1 0 0 0 1
1 1 1 0 0 0 1 1
1 1 1 1 1 0 1 1
1 1 0 1 0 1 1 1
0 0 1 1 1 1 1 0
1 1 1 1 0 0 0 1
1 1 1 1 1 1 1 1
1 1 0 1 1 0 1 1
1 1 1 1 0 0 0 1
1 1 0 1 0 0 0 1
0 1 1 1 0 1 0 1
1 0 1 1 0 1 1 1
0 1 1 0 0 0 0 1
1 1 0 1 0 1 1 1
0 0 1 1 1 1 1 1
0 0 0 1 0 0 1 0
1 1 1 1 0 1 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 1 1 1 0 1
1 1 0 1 1 0 1 1
0 1 0 0 1 0 1 1
1 0 0 1 1 0 1 0
0 1 1 1 0 1 1 1
1 1 1 1 0 1 1 1
1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1
1 0 1 1 0 1 0 1
1 1 1 1 1 1 1 1
1 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
0 1 0 1 0 0 1 1
0 1 0 0 0 0 0 1
0 1 0 1 0 0 0 1
1 0 1 1 1 1 1 0
1 1 0 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 0 0 0 0 1 1
1 0 0 0 1 0 1 0
1 0 0 1 1 1 0 0
1 1 1 1 1 1 1 1
0 1 1 1 1 1 1 1
0 1 1 1 0 0 1 1
0 1 1 0 0 0 1 1
1 0 1 1 0 1 1 1
0 1 0 1 0 1 1 1
1 1 1 0 1 0 1 1
1 1 1 1 0 0 1 1
1 1 1 0 0 0 0 1
0 0 0 1 0 0 1 0
1 1 0 1 0 1 1 1
1 0 0 1 1 1 1 0
0 1 0 1 0 0 1 1
0 1 0 1 1 0 0 0
0 1 1 0 1 0 1 1
0 1 0 1 0 0 0 1
1 1 1 1 1 0 1 1
1 1 1 0 0 1 1 1
0 0 0 1 1 0 1 0
0 1 1 1 0 1 1 1
0 1 0 0 1 0 0 1
0 1 1 1 1 1 1 1
1 1 0 1 0 1 1 1
0 0 1 1 1 1 1 1
0 1 1 1 0 0 1 1
0 1 0 1 0 1 1 1
0 1 1 1 1 0 1 1
1 1 1 0 0 0 1 1
1 0 1 1 0 1 1 0
1 1 1 1 0 0 1 1
0 0 1 1 1 0 1 1
0 0 0 1 1 1 1 0
0 1 0 0 0 0 0 1
0 1 0 0 0 0 0 1
1 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 1 1 1 1 0 0 1
0 1 0 1 0 0 1 1
1 0 1 1 0 1 1 1
1 0 1 1 1 1 0 0
1 0 0 0 0 0 1 0
0 0 0 0 0 0 1 1
0 1 1 1 1 1 1 1
0 1 1 1 0 0 0 1
1 1 1 1 0 1 0 1
1 0 0 1 0 0 1 1
1 0 1 1 0 1 0 1
0 1 0 1 0 0 1 1
0 1 0 1 0 1 1 1
0 1 1 0 0 0 0 1
0 1 0 1 0 0 1 1
1 1 0 1 0 1 0 1
0 1 0 0 0 0 0 1
0 0 1 0 0 1 1 0
1 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
0 0 1 1 0 1 1 1
1 1 1 0 0 0 1 1
0 1 0 1 0 0 1 1
0 0 0 0 0 0 0 1
0 1 1 1 0 0 1 1
1 0 0 1 1 1 1 0
0 1 0 1 0 0 1 1
1 1 1 1 0 0 1 1
1 0 1 1 0 1 1 1
0 1 1 0 1 0 1 1
0 1 1 1 1 0 0 1
1 1 1 1 0 1 0 1
0 1 1 1 1 0 1 1
0 1 1 1 0 1 1 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 1 1
1 0 0 1 0 1 1 1
0 0 0 1 0 1 0 1
1 0 1 0 0 1 1 0
0 1 1 0 0 0 0 1
1 0 1 1 1 0 1 0
1 1 0 1 0 0 0 1
0 1 1 1 0 1 1 1
0 1 1 0 0 0 1 1
0 1 1 1 1 0 1 1
0 0 1 1 0 1 1 1
0 1 1 1 0 1 0 1
0 1 1 0 0 0 1 1
0 1 1 1 0 0 1 1
0 1 1 1 0 0 1 1
1 1 1 0 0 0 1 1
1 1 1 1 1 0 1 1
1 1 1 1 0 1 1 1
0 1 0 1 1 0 1 1
1 1 0 1 0 1 0 1
0 1 0 0 1 0 0 1
0 1 0 1 0 0 0 1
1 1 0 0 0 0 1 1
1 1 1 1 0 0 0 1
1 1 1 1 0 1 1 1
0 0 1 0 1 0 1 1
0 1 1 1 0 0 1 1
1 0 0 1 1 1 1 0
0 0 1 1 0 1 1 0
0 1 0 0 0 0 0 0
1 1 1 1 0 1 1 1
0 1 1 1 0 1 1 1
1 0 0 1 0 1 1 1
0 1 0 1 0 0 0 1
0 1 1 1 0 0 1 1
1 1 0 1 0 1 1 1
